Pop5_Original,Pop10_Original,Pop20_Original,Pop30_Original,Pop40_Original,
1259438,1154269,1262168,1383517,1325768,
1256025,1154269,1262168,1383517,1325768,
1256013,1147284,1261976,1383517,1325768,
1256013,1147284,1261976,1383517,1325768,
1256013,1147284,1261976,1383517,1325768,
1251816,1140724,1254684,1383517,1325768,
1251816,1140724,1250520,1383517,1325768,
1251816,1140724,1250520,1383517,1325768,
1251816,1140724,1249594,1383517,1325768,
1251816,1138410,1249594,1383517,1325768,
1251816,1136421,1249594,1383517,1324852,
1251816,1135932,1249594,1383517,1315925,
1251816,1135932,1246594,1383517,1315925,
1251816,1135932,1246594,1383517,1315925,
1251816,1135932,1246594,1361644,1315925,
1251816,1135932,1246594,1361644,1315925,
1251816,1135932,1246594,1361644,1315925,
1251816,1135932,1242655,1361644,1315925,
1238263,1135932,1242655,1361644,1315925,
1238263,1135932,1242655,1361644,1315925,
1238263,1135932,1239784,1361644,1315925,
1238263,1135932,1239784,1361644,1315925,
1236315,1135932,1239784,1361644,1315925,
1236315,1135932,1239784,1361644,1315925,
1236315,1135932,1239784,1361644,1315925,
1236315,1125820,1239784,1361644,1315925,
1236315,1125820,1239784,1361644,1315925,
1236315,1125820,1239784,1341282,1315925,
1236315,1125820,1239784,1341282,1315925,
1236315,1118243,1239784,1341282,1315925,
1236315,1118243,1239784,1341282,1315925,
1236315,1118243,1239784,1341282,1315925,
1236315,1112384,1239784,1341282,1315925,
1236315,1112384,1239340,1341282,1315925,
1236315,1112384,1239340,1341282,1315925,
1233498,1110533,1237258,1341282,1315925,
1233498,1110533,1237258,1341282,1315925,
1233498,1110533,1237258,1341282,1315925,
1233498,1110533,1237258,1341282,1315925,
1233498,1110533,1237258,1341282,1315925,
1233498,1110533,1237258,1341282,1315925,
1233498,1109715,1237258,1341282,1315925,
1233498,1109715,1237258,1341282,1309097,
1233498,1109715,1237258,1340991,1309097,
1233498,1109275,1237089,1340991,1309097,
1233498,1109275,1230178,1340991,1309097,
1233498,1109098,1230178,1340991,1309097,
1233498,1109098,1230009,1340991,1309097,
1227409,1109098,1230009,1340991,1309097,
1227409,1109098,1230009,1340991,1309097,
1227409,1109098,1230009,1340991,1309097,
1227409,1109098,1228861,1340991,1309097,
1227409,1109098,1228861,1340991,1309097,
1227409,1109098,1228861,1340029,1309097,
1227409,1109098,1228861,1340029,1309097,
1227409,1109098,1228861,1340029,1309097,
1227409,1109098,1228861,1340029,1309097,
1227409,1109098,1228861,1340029,1309097,
1227409,1109098,1228861,1340029,1308412,
1227409,1109098,1228861,1340029,1308412,
1227409,1109098,1228676,1340029,1308412,
1227409,1109098,1225624,1340029,1308412,
